# UPDATED 20180301

Title           , "bounds in memory" , "bounds in registers" , "difference"
"Bubble sort"   ,              247.5 ,                 207.6 ,       -39.9
"Heap sort"     ,              153.9 ,                 135.1 ,       -18.8
"Binary search" ,               65.2 ,                  78.7 ,        13.5
"XXTEA"         ,               68.2 ,                  72.0 ,         3.8
"MD5"           ,               60.3 ,                  55.0 ,        -5.3
"RC5"           ,               22.2 ,                  28.4 ,         6.2
"FFT"           ,               30.3 ,                  27.5 ,        -2.8
"Outlier"       ,              128.4 ,                 140.0 ,        11.6
"LEC"           ,              120.2 ,                 108.7 ,       -11.5
"CoreMark"      ,              125.2 ,                 124.3 ,        -0.9
"MoteTrack"     ,              266.1 ,                 226.2 ,       -39.9
"HeatCalib"     ,               33.9 ,                  39.4 ,         5.5
"HeatDetect"    ,               91.3 ,                  85.9 ,        -5.4
"average"       ,              108.7 ,                 102.2 ,        -6.5
